iter	Logloss
0	0.6352867424
1	0.5813066834
2	0.517395657
3	0.4809859936
4	0.4181412985
5	0.4004820071
6	0.3604273284
7	0.3395987962
8	0.3213849082
9	0.3106033822
10	0.2815053387
11	0.274523557
12	0.2661155622
13	0.2513918283
14	0.2443531172
15	0.2338778116
16	0.2256121023
17	0.2149579606
18	0.2112961068
19	0.2067675826
20	0.2033499929
21	0.1938351144
22	0.1853999677
23	0.1773692713
24	0.1704579313
25	0.1665167774
26	0.1652358197
27	0.1623775018
28	0.1575200693
29	0.1536799153
30	0.1522754985
31	0.1466336513
32	0.1444115581
33	0.1414952202
34	0.1382482682
35	0.1364215422
36	0.1350190494
37	0.132865684
38	0.1294753665
39	0.1273749949
40	0.1261883268
41	0.1251362737
42	0.1229770741
43	0.1202544333
44	0.1188954414
45	0.1175077918
46	0.1149996025
47	0.1134450456
48	0.1071817975
49	0.106227441
50	0.1054369445
51	0.1030845464
52	0.1013899825
53	0.1001699502
54	0.09747862261
55	0.0959134609
56	0.09382232051
57	0.0932228438
58	0.09261084345
59	0.09157339492
60	0.08893049785
61	0.0869311124
62	0.0847260443
63	0.08256414363
64	0.07940864763
65	0.07863796237
66	0.07796988566
67	0.07573078412
68	0.07498696343
69	0.07450035237
70	0.07405058151
71	0.07326656589
72	0.07279786767
73	0.07202176055
74	0.07144089198
75	0.07103377659
76	0.07046883745
77	0.06993370497
78	0.06883891908
79	0.0681766195
80	0.06664604236
81	0.06597247468
82	0.0658171235
83	0.06521782144
84	0.06316759396
85	0.06185136793
86	0.06038292374
87	0.06022780117
88	0.05898230575
89	0.05837785382
90	0.05733274374
91	0.05630227248
92	0.05569449299
93	0.05510980308
94	0.05455571683
95	0.05329209828
96	0.05265816979
97	0.05158352311
98	0.0509156049
99	0.05034586917
100	0.05006799664
101	0.04965165238
102	0.04851753787
103	0.04794335005
104	0.04752797848
105	0.04642109787
106	0.04532494218
107	0.04452501407
108	0.04347906471
109	0.04222199307
110	0.04125187467
111	0.04027357225
112	0.03944455247
113	0.03833593758
114	0.03742608474
115	0.03626816919
116	0.03523061166
117	0.03465891605
118	0.03361239369
119	0.03288218077
120	0.0324061599
121	0.03201715511
122	0.03120411691
123	0.03092534867
124	0.03055075985
125	0.03004674979
126	0.02927888839
127	0.02839383228
128	0.02760656912
129	0.02654278338
130	0.02606344073
131	0.0258676376
132	0.02522998478
133	0.02489463931
134	0.02443560807
135	0.02396652109
136	0.02360994041
137	0.02315398699
138	0.02273819294
139	0.02204536822
140	0.02158178897
141	0.02110988505
142	0.02060109557
143	0.02016517175
144	0.01977096537
145	0.01938670546
146	0.01918124264
147	0.0187502527
148	0.01847023962
149	0.01797301497
150	0.01764164906
151	0.01730659649
152	0.01712784799
153	0.01686335074
154	0.01656467325
155	0.01632645462
156	0.0160567641
157	0.01570513078
158	0.01543032384
159	0.01513955212
160	0.0149551367
161	0.01474287601
162	0.0145245767
163	0.01419451304
164	0.0140069717
165	0.01382733375
166	0.01362330342
167	0.01338423357
168	0.01319119147
169	0.01302946104
170	0.01279646598
171	0.01254432699
172	0.01231117966
173	0.01219143936
174	0.01197508611
175	0.01177910414
176	0.01157277277
177	0.01138909241
178	0.01124022961
179	0.01115099744
180	0.01101942309
181	0.0109229183
182	0.01070081604
183	0.01062163865
184	0.01050545212
185	0.01032643436
186	0.01019126369
187	0.01005381496
188	0.009947411595
189	0.009790928852
190	0.009771565755
191	0.00958173008
192	0.009506683629
193	0.009349425623
194	0.009256931711
195	0.009181030737
196	0.009164198755
197	0.009021269109
198	0.008870220545
199	0.008739759919
200	0.008585750104
201	0.008523693648
202	0.008427291126
203	0.008194395727
204	0.008121584974
205	0.008035382123
206	0.007971331283
207	0.007959550065
208	0.007878147685
209	0.007791502244
210	0.007727892557
211	0.007632828528
212	0.007610998486
213	0.007548573473
214	0.007489683523
215	0.007399092096
216	0.007386713071
217	0.007268605666
218	0.007136919947
219	0.006998863006
220	0.006931541879
221	0.006921085983
222	0.006868730101
223	0.00682832309
224	0.006780526818
225	0.006767644471
226	0.006725370462
227	0.006657592833
228	0.006601440682
229	0.006601440682
230	0.00654466018
231	0.006533471329
232	0.006483047171
233	0.006483025156
234	0.006373639475
235	0.006308888879
236	0.006251437638
237	0.006188878794
238	0.006145134951
239	0.006076988443
240	0.006076988443
241	0.006077011375
242	0.006077011375
243	0.00603081427
244	0.00603081427
245	0.00603081427
246	0.006013982177
247	0.006013891482
248	0.006013891482
249	0.00594211327
250	0.005891707013
251	0.005850045046
252	0.005843616568
253	0.005843594553
254	0.005843572584
255	0.005797457548
256	0.005750715855
257	0.005710447202
258	0.00569839765
259	0.005668592607
260	0.005622733887
261	0.005569829555
262	0.005548997869
263	0.005495799147
264	0.005436378175
265	0.005361015845
266	0.00533018995
267	0.005239140785
268	0.00519584962
269	0.005179087124
270	0.00514521114
271	0.00511157632
272	0.005072377464
273	0.005026709625
274	0.004975497274
275	0.004944648483
276	0.004913017369
277	0.004913066554
278	0.004913066554
279	0.004900212306
280	0.004900168677
281	0.004900168677
282	0.00489710047
283	0.004860497989
284	0.004823414694
285	0.0047890665
286	0.004758290926
287	0.004732595812
288	0.004706632419
289	0.004682657473
290	0.004653814061
291	0.004594229006
292	0.004580601546
293	0.004560463931
294	0.004529936778
295	0.004508170192
296	0.004445971372
297	0.004421759731
298	0.004386857679
299	0.004356565269
